Zipcode,State,County,City,Time Zone,Distance
94103,CA,San Francisco,San Francisco,8,0
94119,CA,San Francisco,San Francisco,8,1
94120,CA,San Francisco,San Francisco,8,1
94125,CA,San Francisco,San Francisco,8,1
94126,CA,San Francisco,San Francisco,8,1
94137,CA,San Francisco,San Francisco,8,1
94139,CA,San Francisco,San Francisco,8,1
94140,CA,San Francisco,San Francisco,8,1
94141,CA,San Francisco,San Francisco,8,1
94142,CA,San Francisco,San Francisco,8,1
94143,CA,San Francisco,San Francisco,8,1
94144,CA,San Francisco,San Francisco,8,1
94145,CA,San Francisco,San Francisco,8,1
94146,CA,San Francisco,San Francisco,8,1
94147,CA,San Francisco,San Francisco,8,1
94151,CA,San Francisco,San Francisco,8,1
94159,CA,San Francisco,San Francisco,8,1
94160,CA,San Francisco,San Francisco,8,1
94161,CA,San Francisco,San Francisco,8,1
94163,CA,San Francisco,San Francisco,8,1
94164,CA,San Francisco,San Francisco,8,1
94172,CA,San Francisco,San Francisco,8,1
94177,CA,San Francisco,San Francisco,8,1
94188,CA,San Francisco,San Francisco,8,1
94102,CA,San Francisco,San Francisco,8,1
94108,CA,San Francisco,San Francisco,8,2
94107,CA,San Francisco,San Francisco,8,2
94104,CA,San Francisco,San Francisco,8,2
94158,CA,San Francisco,San Francisco,8,2
94105,CA,San Francisco,San Francisco,8,2
94109,CA,San Francisco,San Francisco,8,2
94115,CA,San Francisco,San Francisco,8,2
94117,CA,San Francisco,San Francisco,8,3
94111,CA,San Francisco,San Francisco,8,3
94110,CA,San Francisco,San Francisco,8,3
94114,CA,San Francisco,San Francisco,8,3
94123,CA,San Francisco,San Francisco,8,4
94133,CA,San Francisco,San Francisco,8,4
94131,CA,San Francisco,San Francisco,8,4
94118,CA,San Francisco,San Francisco,8,4
94129,CA,San Francisco,San Francisco,8,5
94124,CA,San Francisco,San Francisco,8,6
94134,CA,San Francisco,San Francisco,8,6
94127,CA,San Francisco,San Francisco,8,6
94130,CA,San Francisco,San Francisco,8,6
94122,CA,San Francisco,San Francisco,8,6
94112,CA,San Francisco,San Francisco,8,7
94116,CA,San Francisco,San Francisco,8,7
94121,CA,San Francisco,San Francisco,8,7
94016,CA,San Mateo,Daly City,8,9
94132,CA,San Francisco,San Francisco,8,9
94005,CA,San Mateo,Brisbane,8,10
94014,CA,San Mateo,Daly City,8,10
94017,CA,San Mateo,Daly City,8,10
94607,CA,Alameda,Oakland,8,11
94966,CA,Marin,Sausalito,8,11
94501,CA,Alameda,Alameda,8,12
94015,CA,San Mateo,Daly City,8,12
94608,CA,Alameda,Emeryville,8,13
94662,CA,Alameda,Emeryville,8,13
94604,CA,Alameda,Oakland,8,13
94614,CA,Alameda,Oakland,8,13
94620,CA,Alameda,Piedmont,8,13
94622,CA,Alameda,Oakland,8,13
94623,CA,Alameda,Oakland,8,13
94624,CA,Alameda,Oakland,8,13
94649,CA,Alameda,Oakland,8,13
94659,CA,Alameda,Oakland,8,13
94660,CA,Alameda,Oakland,8,13
94661,CA,Alameda,Oakland,8,13
94666,CA,Alameda,Oakland,8,13
94920,CA,Marin,Belvedere Tiburon,8,13
94965,CA,Marin,Sausalito,8,13
94617,CA,Alameda,Oakland,8,13
94080,CA,San Mateo,South San Francisco,8,13
94612,CA,Alameda,Oakland,8,13
94083,CA,San Mateo,South San Francisco,8,13
