Date,Price
4-Sep-17,3.221
11-Sep-17,3.242
18-Sep-17,3.219
25-Sep-17,3.199
2-Oct-17,3.166
9-Oct-17,3.139
16-Oct-17,3.133
23-Oct-17,3.12
30-Oct-17,3.125
6-Nov-17,3.302
13-Nov-17,3.335
20-Nov-17,3.282
27-Nov-17,3.258
4-Dec-17,3.218
11-Dec-17,3.177
18-Dec-17,3.163
25-Dec-17,3.191
1-Jan-18,3.206
8-Jan-18,3.258
15-Jan-18,3.256
22-Jan-18,3.268
29-Jan-18,3.355
5-Feb-18,3.428
12-Feb-18,3.416
19-Feb-18,3.408
26-Feb-18,3.418
5-Mar-18,3.414
12-Mar-18,3.451
19-Mar-18,3.492
26-Mar-18,3.547
2-Apr-18,3.6
9-Apr-18,3.58
16-Apr-18,3.611
23-Apr-18,3.626
30-Apr-18,3.667
7-May-18,3.69
14-May-18,3.672
21-May-18,3.689
28-May-18,3.708
4-Jun-18,3.704
11-Jun-18,3.688
18-Jun-18,3.664
25-Jun-18,3.634
2-Jul-18,3.622
9-Jul-18,3.626
16-Jul-18,3.609
23-Jul-18,3.588
30-Jul-18,3.579
6-Aug-18,3.576
13-Aug-18,3.563
20-Aug-18,3.538
27-Aug-18,3.546
3-Sep-18,3.572
