Month,San Francisco Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)
Jan-2013,3.622
Feb-2013,4.03
Mar-2013,4.137
Apr-2013,4.012
May-2013,4.035
Jun-2013,4.023
Jul-2013,3.999
Aug-2013,3.888
Sep-2013,3.962
Oct-2013,3.869
Nov-2013,3.643
Dec-2013,3.603
Jan-2014,3.645
Feb-2014,3.686
Mar-2014,3.947
Apr-2014,4.158
May-2014,4.21
Jun-2014,4.154
Jul-2014,4.086
Aug-2014,3.956
Sep-2014,3.833
Oct-2014,3.586
Nov-2014,3.249
Dec-2014,2.931
Jan-2015,2.626
Feb-2015,2.726
Mar-2015,3.345
Apr-2015,3.241
May-2015,3.711
Jun-2015,3.535
Jul-2015,3.533
Aug-2015,3.387
Sep-2015,3.06
Oct-2015,2.897
Nov-2015,2.788
Dec-2015,2.702
Jan-2016,2.684
Feb-2016,2.448
Mar-2016,2.626
Apr-2016,2.809
May-2016,2.87
Jun-2016,2.917
Jul-2016,2.912
Aug-2016,2.75
Sep-2016,2.802
Oct-2016,2.815
Nov-2016,2.726
Dec-2016,2.715
Jan-2017,2.834
Feb-2017,2.908
Mar-2017,3.039
Apr-2017,3.055
May-2017,3.117
Jun-2017,3.127
Jul-2017,3.026
Aug-2017,3.06
Sep-2017,3.209
Oct-2017,3.144
Nov-2017,3.261
Dec-2017,3.202
Jan-2018,3.21
Feb-2018,3.362
Mar-2018,3.464
Apr-2018,3.635
May-2018,3.681
Jun-2018,3.666
Jul-2018,3.616
Aug-2018,3.542
,
