Date,Price
"Jan 07, 2013",3.652
"Jan 14, 2013",3.661
"Jan 21, 2013",3.677
"Jan 28, 2013",3.723
"Feb 04, 2013",3.952
"Feb 11, 2013",4.092
"Feb 18, 2013",4.203
"Feb 25, 2013",4.26
"Mar 04, 2013",4.26
"Mar 11, 2013",4.221
"Mar 18, 2013",4.169
"Mar 25, 2013",4.117
"Apr 01, 2013",4.1
"Apr 08, 2013",4.081
"Apr 15, 2013",4.039
"Apr 22, 2013",3.981
"Apr 29, 2013",3.952
"May 06, 2013",3.956
"May 13, 2013",4.087
"May 20, 2013",4.094
"May 27, 2013",4.068
"Jun 03, 2013",4.024
"Jun 10, 2013",4.016
"Jun 17, 2013",4.036
"Jun 24, 2013",4.122
"Jul 01, 2013",4.051
"Jul 08, 2013",4.033
"Jul 15, 2013",4.064
"Jul 22, 2013",4.083
"Jul 29, 2013",4.05
"Aug 05, 2013",3.999
"Aug 12, 2013",3.949
"Aug 19, 2013",3.878
"Aug 26, 2013",3.85
"Sep 02, 2013",3.87
"Sep 09, 2013",3.947
"Sep 16, 2013",4.096
"Sep 23, 2013",4.052
"Sep 30, 2013",3.98
"Oct 07, 2013",3.898
"Oct 14, 2013",3.84
"Oct 21, 2013",3.812
"Oct 28, 2013",3.765
"Nov 04, 2013",3.711
"Nov 11, 2013",3.65
"Nov 18, 2013",3.608
"Nov 25, 2013",3.595
"Dec 02, 2013",3.624
"Dec 09, 2013",3.629
"Dec 16, 2013",3.621
"Dec 23, 2013",3.642
"Dec 30, 2013",3.695
"Jan 06, 2014",3.714
"Jan 13, 2014",3.683
"Jan 20, 2014",3.638
"Jan 27, 2014",3.63
"Feb 03, 2014",3.639
"Feb 10, 2014",3.675
"Feb 17, 2014",3.747
"Feb 24, 2014",3.844
"Mar 03, 2014",3.904
"Mar 10, 2014",3.946
"Mar 17, 2014",4.007
"Mar 24, 2014",4.019
"Mar 31, 2014",4.045
"Apr 07, 2014",4.077
"Apr 14, 2014",4.206
"Apr 21, 2014",4.254
"Apr 28, 2014",4.302
"May 05, 2014",4.271
"May 12, 2014",4.218
"May 19, 2014",4.208
"May 26, 2014",4.184
"Jun 02, 2014",4.176
"Jun 09, 2014",4.155
"Jun 16, 2014",4.151
"Jun 23, 2014",4.151
"Jun 30, 2014",4.18
"Jul 07, 2014",4.177
"Jul 14, 2014",4.138
"Jul 21, 2014",4.083
"Jul 28, 2014",4.041
"Aug 04, 2014",4
"Aug 11, 2014",3.974
"Aug 18, 2014",3.946
"Aug 25, 2014",3.925
"Sep 01, 2014",3.891
"Sep 08, 2014",3.863
"Sep 15, 2014",3.833
"Sep 22, 2014",3.775
"Sep 29, 2014",3.741
"Oct 06, 2014",3.714
"Oct 13, 2014",3.647
"Oct 20, 2014",3.538
"Oct 27, 2014",3.44
"Nov 03, 2014",3.348
"Nov 10, 2014",3.266
"Nov 17, 2014",3.2
"Nov 24, 2014",3.122
"Dec 01, 2014",3.097
"Dec 08, 2014",3.028
"Dec 15, 2014",2.928
"Dec 22, 2014",2.8
"Dec 29, 2014",2.728
"Jan 05, 2015",2.721
"Jan 12, 2015",2.643
"Jan 19, 2015",2.532
"Jan 26, 2015",2.489
"Feb 02, 2015",2.491
"Feb 09, 2015",2.676
"Feb 16, 2015",2.847
"Feb 23, 2015",3.009
"Mar 02, 2015",3.468
"Mar 09, 2015",3.489
"Mar 16, 2015",3.41
"Mar 23, 2015",3.316
"Mar 30, 2015",3.258
"Apr 06, 2015",3.2
"Apr 13, 2015",3.153
"Apr 20, 2015",3.207
"Apr 27, 2015",3.483
"May 04, 2015",3.764
"May 11, 2015",3.781
"May 18, 2015",3.859
"May 25, 2015",3.811
"Jun 01, 2015",3.743
