Date,Price
2013-09-16,4.096
2013-09-23,4.052
2013-09-30,3.98
2013-10-07,3.898
2013-10-14,3.84
2013-10-21,3.812
2013-10-28,3.765
2013-11-04,3.711
2013-11-11,3.65
2013-11-18,3.608
2013-11-25,3.595
2013-12-02,3.624
2013-12-09,3.629
2013-12-16,3.621
2013-12-23,3.642
2013-12-30,3.695
2014-01-06,3.714
2014-01-13,3.683
2014-01-20,3.638
2014-01-27,3.63
2014-02-03,3.639
2014-02-10,3.675
2014-02-17,3.747
2014-02-24,3.844
2014-03-03,3.904
2014-03-10,3.946
2014-03-17,4.007
2014-03-24,4.019
2014-03-31,4.045
2014-04-07,4.077
2014-04-14,4.206
2014-04-21,4.254
2014-04-28,4.302
2014-05-05,4.271
2014-05-12,4.218
2014-05-19,4.208
2014-05-26,4.184
2014-06-02,4.176
2014-06-09,4.155
2014-06-16,4.151
2014-06-23,4.151
2014-06-30,4.18
2014-07-07,4.177
2014-07-14,4.138
2014-07-21,4.083
2014-07-28,4.041
2014-08-04,4
2014-08-11,3.974
2014-08-18,3.946
2014-08-25,3.925
2014-09-01,3.891
2014-09-08,3.863
2014-09-15,3.833
2014-09-22,3.775
2014-09-29,3.741
2014-10-06,3.714
2014-10-13,3.647
2014-10-20,3.538
2014-10-27,3.44
2014-11-03,3.348
2014-11-10,3.266
2014-11-17,3.2
2014-11-24,3.122
2014-12-01,3.097
2014-12-08,3.028
2014-12-15,2.928
2014-12-22,2.8
2014-12-29,2.728
2015-01-05,2.721
2015-01-12,2.643
2015-01-19,2.532
2015-01-26,2.489
2015-02-02,2.491
2015-02-09,2.676
2015-02-16,2.847
2015-02-23,3.009
2015-03-02,3.468
2015-03-09,3.489
2015-03-16,3.41
2015-03-23,3.316
2015-03-30,3.258
2015-04-06,3.2
2015-04-13,3.153
2015-04-20,3.207
2015-04-27,3.483
2015-05-04,3.764
2015-05-11,3.781
2015-05-18,3.859
2015-05-25,3.811
2015-06-01,3.743
2015-06-08,3.643
2015-06-15,3.562
2015-06-22,3.531
2015-06-29,3.502
2015-07-06,3.484
2015-07-13,3.939
2015-07-20,3.954
2015-07-27,3.869
2015-08-03,3.781
2015-08-10,3.619
2015-08-17,3.638
2015-08-24,3.537
2015-08-31,3.397
2015-09-07,3.32
2015-09-14,3.208
2015-09-21,3.124
2015-09-28,3.047
2015-10-05,3.001
2015-10-12,2.966
2015-10-19,2.912
2015-10-26,2.899
2015-11-02,2.873
2015-11-09,2.877
2015-11-16,2.833
2015-11-23,2.767
2015-11-30,2.743
2015-12-07,2.729
2015-12-14,2.706
2015-12-21,2.789
2015-12-28,2.879
2016-01-04,2.93
2016-01-11,2.897
2016-01-18,2.767
2016-01-25,2.697
2016-02-01,2.605
2016-02-08,2.539
2016-02-15,2.431
2016-02-22,2.347
2016-02-29,2.461
2016-03-07,2.495
2016-03-14,2.651
2016-03-21,2.734
2016-03-28,2.835
2016-04-04,2.829
2016-04-11,2.803
2016-04-18,2.825
2016-04-25,2.83
2016-05-02,2.864
2016-05-09,2.842
2016-05-16,2.844
2016-05-23,2.86
2016-05-30,2.866
2016-06-06,2.894
2016-06-13,2.919
2016-06-20,2.921
2016-06-27,2.984
2016-07-04,2.966
2016-07-11,2.921
2016-07-18,2.912
2016-07-25,2.846
2016-08-01,2.778
2016-08-08,2.733
2016-08-15,2.695
2016-08-22,2.755
2016-08-29,2.763
2016-09-05,2.762
2016-09-12,2.811
2016-09-19,2.82
2016-09-26,2.82
2016-10-03,2.862
2016-10-10,2.855
2016-10-17,2.86
2016-10-24,2.853
2016-10-31,2.88
2016-11-07,2.866
2016-11-14,2.812
2016-11-21,2.746
2016-11-28,2.728
2016-12-05,2.738
2016-12-12,2.723
2016-12-19,2.728
2016-12-26,2.764
2017-01-02,2.838
2017-01-09,2.863
2017-01-16,2.849
2017-01-23,2.84
2017-01-30,2.849
2017-02-06,2.881
2017-02-13,2.932
2017-02-20,2.955
2017-02-27,3.014
2017-03-06,3.059
2017-03-13,3.063
2017-03-20,3.058
2017-03-27,3.055
2017-04-03,3.049
2017-04-10,3.066
2017-04-17,3.076
2017-04-24,3.075
2017-05-01,3.062
2017-05-08,3.046
2017-05-15,3.063
2017-05-22,3.151
2017-05-29,3.183
2017-06-05,3.161
2017-06-12,3.094
2017-06-19,3.054
2017-06-26,3.01
2017-07-03,3.002
2017-07-10,3.003
2017-07-17,2.988
2017-07-24,2.995
2017-07-31,3.036
2017-08-07,3.047
2017-08-14,3.071
2017-08-21,3.084
2017-08-28,3.091
2017-09-04,3.221
2017-09-11,3.242
2017-09-18,3.219
2017-09-25,3.199
2017-10-02,3.166
2017-10-09,3.139
2017-10-16,3.133
2017-10-23,3.12
2017-10-30,3.125
2017-11-06,3.302
2017-11-13,3.335
2017-11-20,3.282
2017-11-27,3.258
2017-12-04,3.218
2017-12-11,3.177
2017-12-18,3.163
2017-12-25,3.191
2018-01-01,3.206
2018-01-08,3.258
2018-01-15,3.256
2018-01-22,3.268
2018-01-29,3.355
2018-02-05,3.428
2018-02-12,3.416
2018-02-19,3.408
2018-02-26,3.418
2018-03-05,3.414
2018-03-12,3.451
2018-03-19,3.492
2018-03-26,3.547
2018-04-02,3.6
2018-04-09,3.58
2018-04-16,3.611
2018-04-23,3.626
2018-04-30,3.667
2018-05-07,3.69
2018-05-14,3.672
2018-05-21,3.689
2018-05-28,3.708
2018-06-04,3.704
2018-06-11,3.688
2018-06-18,3.664
2018-06-25,3.634
2018-07-02,3.622
2018-07-09,3.626
2018-07-16,3.609
2018-07-23,3.588
2018-07-30,3.579
2018-08-06,3.576
2018-08-13,3.563
2018-08-20,3.538
2018-08-27,3.546
2018-09-03,3.572
